year,equityGrowth,dividendYield,equityReturn,fixedIncomeReturn,inflationIndex
1871,0.09459459459459452,0.05855855855855856,0.1531531531531531,0.053200000000000004,12.46406116
1872,0.05144032921810693,0.05417695473251028,0.1056172839506172,0.0536,12.65439174
1873,-0.0880626223091977,0.059197651663405085,-0.028864970645792618,0.0558,12.93980661
1874,-0.025751072961373467,0.07081545064377683,0.04506437768240336,0.0547,12.36889587
1875,-0.017621145374449365,0.07213656387665199,0.05451541850220262,0.0507,11.51265124
1876,-0.20403587443946192,0.06726457399103139,-0.13677130044843053,0.045899999999999996,10.84657521
1877,-0.08450704225352113,0.08191549295774649,-0.0025915492957746394,0.044500000000000005,10.9417405
1878,0.10153846153846158,0.05821538461538462,0.1597538461538462,0.0434,9.229089256
1879,0.4273743016759777,0.050754189944134075,0.47812849162011173,0.042199999999999994,8.277679339
1880,0.21135029354207435,0.040117416829745595,0.2514677103718199,0.04019999999999999,9.990330579
1881,-0.043618739903069526,0.04281098546042003,-0.0008077544426494943,0.037000000000000005,9.419419835
1882,-0.01858108108108114,0.05405405405405406,0.035472972972972916,0.0362,10.18058017
1883,-0.10843373493975905,0.055215146299483646,-0.053218588640275406,0.0363,9.990330579
1884,-0.18146718146718133,0.06337837837837838,-0.11808880308880294,0.0362,9.229089256
1885,0.2264150943396226,0.07174528301886793,0.29816037735849055,0.0352,8.277679339
1886,0.07307692307692304,0.04582692307692308,0.11890384615384611,0.0337,7.992232066
1887,-0.048387096774193616,0.039874551971326166,-0.00851254480286745,0.0352,7.992232066
1888,-0.013182674199623268,0.04676082862523541,0.03357815442561214,0.036699999999999997,8.372844628
1889,0.026717557251908275,0.04374045801526717,0.07045801526717545,0.0345,7.992232066
1890,-0.1003717472118959,0.040892193308550186,-0.059479553903345715,0.0342,7.611651901
1891,0.13842975206611574,0.045454545454545456,0.1838842975206612,0.0362,7.801941983
1892,0.01814882032667886,0.040235934664246825,0.058384754990925686,0.036000000000000004,7.326212727
1893,-0.22994652406417115,0.04292335115864527,-0.1870231729055259,0.0375,7.897091074
1894,-0.01620370370370372,0.05710648148148148,0.04090277777777776,0.037000000000000005,6.850483471
1895,0.004705882352941115,0.04901176470588236,0.053717647058823474,0.0346,6.565052397
1896,-0.011709601873536313,0.04430913348946137,0.032599531615925055,0.036000000000000004,6.660193388
1897,0.1563981042654028,0.04265402843601896,0.19905213270142175,0.034,6.469903306
1898,0.24590163934426235,0.03723360655737705,0.2831352459016394,0.0335,6.660193388
